"subj","condition","countFix_aoi","N","n_target","n_distractor","n_dud","p_target","p_distractor","p_dud","dur_target","dur_distractor","dur_dud"
"sub01",0,1,220,115,105,0,0.522727272727273,0.477272727272727,0,0.150001282609351,0.154206659028395,0
"sub01",0,2,67,40,27,0,0.597014925373134,0.402985074626866,0,0.149992609996116,0.18116684080343,0
"sub01",0,3,8,1,7,0,0.125,0.875,0,0.0416733003221452,0.208336728591738,0
"sub01",0,4,2,2,0,0,1,0,0,0.31247580004856,0,0
"sub01",0.3,1,202,98,70,34,0.485148514851485,0.346534653465347,0.168316831683168,0.142262297988945,0.145952558547391,0.136274414657451
"sub01",0.3,2,67,35,22,10,0.522388059701492,0.328358208955224,0.149253731343284,0.119758491444268,0.132197127275338,0.099169289926067
"sub01",0.3,3,13,4,8,1,0.307692307692308,0.615384615384615,0.0769230769230769,0.0875048000598325,0.104163600044558,0.274949099868536
"sub01",0.3,4,1,1,0,0,1,0,0,0.616673500044271,0,0
"sub01",0.5,1,211,85,82,44,0.402843601895735,0.388625592417062,0.208530805687204,0.156075343492386,0.130488687802515,0.120642568259923
"sub01",0.5,2,68,32,30,6,0.470588235294118,0.441176470588235,0.0882352941176471,0.108851462420716,0.117773493332788,0.0819513334427029
"sub01",0.5,3,11,5,3,3,0.454545454545455,0.272727272727273,0.272727272727273,0.248318480001762,0.175001000209401,0.116652266743282
"sub01",0.5,4,3,1,2,0,0.333333333333333,0.666666666666667,0,0.0416791997849941,0.0291686002165079,0
"sub01",0.5,5,2,1,1,0,0.5,0.5,0,0.0666648996993899,0.0166660002432764,0
"sub01",0.5,6,2,1,1,0,0.5,0.5,0,0.058415399864316,0.0333357001654804,0
"sub01",0.5,7,2,1,1,0,0.5,0.5,0,0.0999205000698566,0.033419699408114,0
"sub01",0.5,8,1,1,0,0,1,0,0,0.0249944003298879,0,0
"sub01",0.5,9,1,1,0,0,1,0,0,0.0499860006384552,0,0
