"","Mu_d","Sigma","Tau_nd","Sigma_d","Beta","Theta","Weight"
"1",0.00724452898712709,0.0268420425582275,0.421123324474185,0.000177929952662965,0.278299810169749,0.160695953507681,0.798169230369017
"2",0.00691081065230997,0.0203683454671757,0.350260966705627,0.000176423239959138,0.284036444184175,0.139588664722479,0.710527461849853
"3",0.00779745023663458,0.0237076422859464,0.303659196449111,0.000190565484215154,0.201819293393934,0.150721332078477,0.787626559747211
"4",0.00609834913452724,0.0201821964305674,0.332164119928478,0.000121252317438144,0.242591574388343,0.201365289239601,0.733746790698653
"5",0.00747370698179932,0.0212458274994226,0.315128426129064,0.000142548885822043,0.253027109004498,0.17226067518244,0.767276030812877
"6",0.00660840850682918,0.0237809282458838,0.324458171183191,0.000156668079993445,0.245140279074835,0.183504488470164,0.806930821985834
"7",0.00717869455314087,0.0256008646469746,0.309581372882104,0.000141136700857147,0.311996590777751,0.16148890427801,0.683082794267244
"8",0.00607538943399898,0.0217701704885089,0.398067797751616,0.00015382103928156,0.251261781026058,0.154163913250163,0.623877873890311
"9",0.00769793384687944,0.024901526880996,0.342640396995751,0.000175263383055417,0.251602582727153,0.151535886765566,0.783103416395736
"10",0.00746206518597402,0.0219758209164781,0.374387894596306,0.000127453887031919,0.25310555158611,0.145412562177324,0.662738268152573
"11",0.00661559083441174,0.0224908717980632,0.330176079060114,0.000117973918898796,0.233917229992003,0.186424516667779,0.676655104867906
"12",0.00814385698054924,0.0226743266063843,0.312346857396551,0.000160357416166761,0.205171686262019,0.176675215334198,0.73115212325389
"13",0.00624766635412517,0.0190095596498974,0.28024638481166,0.0001918521308739,0.3236589867417,0.181298145409708,0.72948696193359
"14",0.00736870390003647,0.0211922730757256,0.323167965753414,0.000147774953371224,0.248027461808262,0.168723650428834,0.751413201822091
"15",0.00709653032180027,0.0217973235887968,0.3452911925746,0.000158797517797703,0.255499917257031,0.164043155900451,0.60446352820852
"16",0.00721497675752223,0.0251453221529087,0.347379087755059,0.000140297063830871,0.229048771535407,0.161785811352925,0.639216114704187
"17",0.00724712972477866,0.0227723564017404,0.302587321036905,0.000138209305357617,0.280210031498112,0.169969457831023,0.67684778230893
"18",0.00666490380902847,0.0242371240165325,0.317884288194333,0.000153415975553096,0.221452912195922,0.157166113121144,0.827424112803768
"19",0.00808376825268457,0.0259272841508894,0.278753620556554,0.000174118185056,0.255536623786311,0.18402274706203,0.675081874508308
"20",0.00785677877886902,0.0243533748507236,0.329576736417087,0.000161597859151962,0.236575132558988,0.160130732639713,0.590869347820312
"21",0.0084337465572911,0.0227847839608831,0.281890278131568,0.000148056457850971,0.216242295750146,0.167825328674037,0.588421684922899
"22",0.00709258642759391,0.0245137776051836,0.374388368820767,0.000160894869557309,0.321838899611622,0.163638722048988,0.762438329044614
"23",0.00782199615251072,0.0225427580455383,0.286252811032755,0.000184654760159037,0.226772779295399,0.150734139995362,0.865923729220743
"24",0.00751028906767041,0.0195308762335662,0.408487581798941,0.000124465048099763,0.258147511014926,0.157431162527586,0.825700293788456
