"","Mu_d","Sigma","Tau_nd","Sigma_d","Beta","Theta","Weight"
"1",0.00590796655576761,0.020266924835832,0.401515217094624,0.000146367886238709,0.207170927217652,0.196495286749861,0.734759703647305
"2",0.0085219345819888,0.0207051544654844,0.286056598220257,0.000165417824276202,0.260449757772125,0.165960556885311,0.848412077534948
"3",0.00652918175351048,0.019814312820722,0.337796023065582,0.000175645886363762,0.240122001796375,0.152674082364403,0.830223429391318
"4",0.00787211381720951,0.0234280442998852,0.297530679017644,0.000174996500034419,0.299433400625043,0.146898554719669,0.797079606103247
"5",0.00843279942726058,0.0220709141674532,0.283928660265393,0.000175836404576518,0.289895779219428,0.171546250442427,0.7530908740829
"6",0.00635708591336454,0.0181264414623601,0.275018617637565,0.000165551863429022,0.258548229919457,0.172604597107268,0.688921025873382
"7",0.00642468566170854,0.0203546671534944,0.26616908602323,0.000149785123444018,0.325157242909262,0.179684064587771,0.55069422492894
"8",0.00728750246721898,0.0184675642860214,0.251874831123422,0.000151841745446789,0.258460085679225,0.139214659137482,0.7988440125937
"9",0.00820725487842051,0.0214841079311081,0.378414683265648,0.00019854526571343,0.288784609331909,0.191966224376772,0.647688215847071
"10",0.00712483480398572,0.0235896744279563,0.347922472914011,0.000161997635704571,0.289051865252651,0.155074493329756,0.624932221347815
"11",0.00800621658114069,0.016535271724891,0.385545597353327,0.000125331943444595,0.247794217931799,0.110198678865538,0.713904212355061
"12",0.0072512765318432,0.0254854865726039,0.303519065808745,0.000137610370796218,0.24395611990512,0.180997485304899,0.922395883846411
"13",0.00806760399776642,0.0235517465439483,0.315660192005493,0.000141770376615574,0.251250391081489,0.201974723269463,0.600811052198814
"14",0.0079703724428424,0.0174746126739559,0.281923981686288,0.000165916111979541,0.295101632349946,0.174713225871817,0.948245965333282
"15",0.00765705664068943,0.0271939966721226,0.315968217744331,0.000131980473078332,0.295989578332449,0.155974010754066,0.656764250459833
"16",0.00686914967625635,0.0175631652634697,0.348080094571517,0.000125733262987286,0.283191102962785,0.131242821478522,0.708368479952788
"17",0.00832465924210526,0.0207978955831086,0.367046310199746,0.000146584917208802,0.281346209137551,0.18067452806046,0.79102763842276
"18",0.00833454171793598,0.0215233828626698,0.262524109818217,0.000150879570550058,0.269754689841253,0.163184804872361,0.571207799481487
"19",0.00584071232115924,0.0264663011556186,0.319648886622761,0.000117893338710991,0.265615008283371,0.124470459743423,0.912634261692003
"20",0.00707357693838057,0.0279176246518273,0.337434401990885,0.00016227300372089,0.259284884097294,0.185350035196266,0.493688174157922
"21",0.00556518602545522,0.0232853188541173,0.283225065805393,0.000173024908986146,0.260266858809324,0.164372509420426,0.873371115019092
"22",0.00802711273199986,0.0225939814560738,0.379109895850484,0.000144744693072829,0.224087705336583,0.0894429552093796,0.702593643058119
"23",0.00738062004397196,0.0241208357905811,0.275046534081694,0.000142721622189742,0.215237079579649,0.17540066398213,0.838581226698765
"24",0.00671098593110564,0.0218720757958107,0.362271576658047,0.000157156489351761,0.325020839725647,0.222240026009716,0.813257725042628
